" ","score","status","future","trend","pressures","resilience"
"Index",62.57,,63.33,,,
"Food Provision",67.9,65.69,70.1,0.14,,
". Fisheries",8.61,8,9.22,0.03,29.23,69.48
". Mariculture",97.02,94.03,100,0.19,30.06,52.75
"Artisanal Fishing Opportunity",70.09,65.56,74.63,0,27.83,69.99
"Natural Products",21.21,20.09,22.32,-0.03,28.24,68.45
"Carbon Storage",40.28,29.87,50.68,0.87,32.61,66.29
"Coastal Protection",10.18,9.19,11.16,0.18,36.8,66.29
"Tourism & Recreation",92.92,100,85.84,-0.2,52.48,49.62
"Coastal Livelihoods & Economies",100,100,100,0.8,,
". Livelihoods",100,100,100,0.6,31.03,47.7
". Economies",100,100,100,1,30.31,53.82
"Sense of Place",75.59,78.75,72.44,-0.25,,
". Iconic Species",51.19,57.5,44.87,-0.5,33.21,68.18
". Lasting Special Places",100,100,100,0,38.82,62.12
"Clean Waters",72.51,77.32,67.7,-0.1,67.66,49.62
"Biodiversity",75,71.6,78.4,0.02,,
". Habitats",60.91,54.46,67.36,0.18,30.54,66.61
". Species",89.09,88.74,89.43,-0.14,34.23,65.38
