" ","score","status","future"
"Index",60,,60.76
"Food Provision",42.07,39.81,44.34
". Fisheries",12.17,11.21,13.14
". Mariculture",56.76,53.85,59.66
"Artisanal Fishing Opportunity",70.09,65.56,74.62
"Natural Products",21.43,20.39,22.46
"Carbon Storage",40.27,29.87,50.67
"Coastal Protection",10.18,9.19,11.16
"Tourism & Recreation",92.92,100,85.84
"Coastal Livelihoods & Economies",100,100,100
". Livelihoods",100,100,100
". Economies",100,100,100
"Sense of Place",75.59,78.75,72.42
". Iconic Species",51.17,57.5,44.85
". Lasting Special Places",100,100,100
"Clean Waters",72.51,77.32,67.7
"Biodiversity",74.99,71.6,78.38
". Habitats",60.91,54.46,67.35
". Species",89.07,88.74,89.41
