" ","score","status","future","trend","pressures","resilience"
"Index",60.27,,61.02,,,
"Food Provision",39.41,36.58,42.25,0.08,,
". Fisheries",2.14,2,2.28,0.01,29.21,69.48
". Mariculture",57.72,53.56,61.88,0.12,30.06,52.75
"Artisanal Fishing Opportunity",70.1,65.56,74.63,0,27.81,69.99
"Natural Products",26.74,26.36,27.12,-0.15,28.24,68.45
"Carbon Storage",40.28,29.87,50.69,0.87,32.54,66.29
"Coastal Protection",10.18,9.19,11.16,0.18,36.78,66.29
"Tourism & Recreation",92.92,100,85.84,-0.2,52.48,49.62
"Coastal Livelihoods & Economies",100,100,100,0.8,,
". Livelihoods",100,100,100,0.6,31.03,47.7
". Economies",100,100,100,1,30.31,53.82
"Sense of Place",75.6,78.75,72.44,-0.25,,
". Iconic Species",51.19,57.5,44.88,-0.5,33.16,68.18
". Lasting Special Places",100,100,100,0,38.75,62.12
"Clean Waters",72.51,77.32,67.7,-0.1,67.66,49.62
"Biodiversity",75,71.6,78.41,0.02,,
". Habitats",60.91,54.46,67.37,0.18,30.52,66.61
". Species",89.09,88.74,89.45,-0.14,34.19,65.38
