" ","score","status","future","trend","pressures","resilience"
"Index",59.05,,59.84,,,
"Food Provision",34.48,32.02,36.94,0.1,,
". Fisheries",17.44,16,18.87,0.07,29.31,69.48
". Mariculture",42.85,39.89,45.82,0.11,30.06,52.75
"Artisanal Fishing Opportunity",70.08,65.56,74.61,0,27.94,69.99
"Natural Products",19.53,18.3,20.76,0,28.24,68.45
"Carbon Storage",40.26,29.87,50.65,0.87,32.91,66.29
"Coastal Protection",10.17,9.19,11.16,0.18,36.94,66.29
"Tourism & Recreation",92.92,100,85.84,-0.2,52.48,49.62
"Coastal Livelihoods & Economies",100,100,100,0.8,,
". Livelihoods",100,100,100,0.6,31.03,47.7
". Economies",100,100,100,1,30.32,53.82
"Sense of Place",75.58,78.75,72.41,-0.25,,
". Iconic Species",51.16,57.5,44.82,-0.5,33.47,68.18
". Lasting Special Places",100,100,100,0,39.14,62.12
"Clean Waters",72.51,77.32,67.7,-0.1,67.66,49.62
"Biodiversity",74.98,71.6,78.37,0.02,,
". Habitats",60.9,54.46,67.34,0.18,30.64,66.61
". Species",89.06,88.74,89.39,-0.14,34.38,65.38
