" ","score","status","future","trend","pressures","resilience"
"Index",58.57,,59.18,,,
"Food Provision",22.9,21.5,24.29,0.06,,
". Fisheries",4.29,4,4.58,0.02,29.24,69.48
". Mariculture",32.03,30.1,33.97,0.08,30.06,52.75
"Artisanal Fishing Opportunity",70.09,65.56,74.63,0,27.85,69.99
"Natural Products",26.25,25.78,26.72,-0.14,28.24,68.45
"Carbon Storage",40.27,29.87,50.68,0.87,32.66,66.29
"Coastal Protection",10.18,9.19,11.16,0.18,36.83,66.29
"Tourism & Recreation",92.92,100,85.84,-0.2,52.48,49.62
"Coastal Livelihoods & Economies",100,100,100,0.8,,
". Livelihoods",100,100,100,0.6,31.03,47.7
". Economies",100,100,100,1,30.31,53.82
"Sense of Place",75.59,78.75,72.43,-0.25,,
". Iconic Species",51.18,57.5,44.87,-0.5,33.25,68.18
". Lasting Special Places",100,100,100,0,38.87,62.12
"Clean Waters",72.51,77.32,67.7,-0.1,67.66,49.62
"Biodiversity",75,71.6,78.39,0.02,,
". Habitats",60.91,54.46,67.36,0.18,30.56,66.61
". Species",89.08,88.74,89.43,-0.14,34.25,65.38
