"targets","layer","name","description","fld_value","units","clip_n_ship_disag","clip_n_ship_disag_description","filename","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","year_min","year_max","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique","data_na"
"AO","ao_access","Fisheries management effectiveness and opportunity","The opportunity for artisanal and recreational fishing based on the quality of management of the small- scale fishing sector (Mora et al 2009).

Data sources:

- Mora, C., Myers, R.A., Coll, M., Libralato, S., Pitcher, T.J., Sumaila, R.U., Worm, B. (2009). **Management Effectiveness of the Worldï¿s Marine Fisheries**. _PLoS Biol_, 7(6), e1000131. [doi:10.1371/journal.pbio.1000131](http://dx.doi.org/10.1371/journal.pbio.1000131)","value","value","equal","global management effectiveness scores were applied equally to all regions.","ao_access_global2014.csv","rgn_id",,,,"value",,TRUE,,,0.632,0.632,TRUE,,,,4,FALSE
"AO","ao_need","Purchasing power parity as a proxy for subsistence fishing need, by region","The per capita purchasing power parity (PPP) adjusted gross domestic product (GDP): GDPpcPPP.

Data sources:

- The World Bank [GDP per capita, PPP (current international $)](http://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD)","value","value","equal","global purchasing power parity information was applied equally to all regions.","ao_need_global2014.csv","rgn_id",,,"year","value",,TRUE,1990,2013,0.0444484975818568,0.0696787697559114,TRUE,,,,4,FALSE
"CW","cw_coastalpopn_trend","Coastal human population as a proxy for trend in trash","Coastal population, defined as the total population inland of 25 miles, extracted from Gridded Population of the World (GPW) Population Density Grid Future Estimates.

Data sources:

- Center for International Earth Science Information Network (CIESIN)/Columbia University 
- CIESIN & CIAT (Center for International Earth Science Information Network (CIESIN)/Columbia University, & Centro Internacional de Agricultura Tropical (CIAT)) (2005). **Gridded Population of the World, Version 3 (GPWv3): Population Density Grid, Future Estimates**. Palisades, NY. [NASA Socioeconomic Data and Applications Center (SEDAC)](http://sedac.ciesin.columbia.edu/data/set/gpw-v3-population-density-future-estimates)","trend","trend score","equal","global trends were applied equally to all regions.","cw_coastalpopn_trend_global2014.csv","rgn_id",,,,"trend",,TRUE,,,0.0608011833933369,0.0608011833933369,TRUE,,,,4,FALSE
"CW","cw_fertilizer_trend","Fertilizer consumption as a proxy for trend in nutrient pollution","Statistics on fertilizer consumption from the Food and Agricultural Organization (FAO). 

Data sources:

- [FAOâs statistical database FAOSTAT](http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E).","trend.score","trend score","equal","global trends were applied equally to all regions.","cw_fertilizer_trend_global2014.csv","rgn_id",,,,"trend.score",,TRUE,,,0.535174442356423,0.535174442356423,TRUE,,,,4,FALSE
"CW","cw_pathogen_trend","Trends in access to improved sanitation as a proxy for pathogen pollution trend","Trends in percent of population with access to improved sanitation facilities.

Data sources:

- [World Health Organization and United Nations Children's Fund's Joint Monitoring Programme (WHO/UNICEF's JMP)](www.wssinfo.org/data-estimates/table)
","trend","trend score","equal","global trends were applied equally to all regions.","cw_pathogen_trend_global2014.csv","rgn_id",,,,"trend",,TRUE,,,0.00231502642354798,0.00231502642354798,TRUE,,,,4,FALSE
"CW","cw_pesticide_trend","Pesticide consumption as a proxy for trend in chemical pollution","Statistics on pesticide consumption from the Food and Agricultural Organization (FAO). 

Data sources:

- [FAOâs statistical database FAOSTAT](http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E).
","trend.score","trend score","equal","global trends were applied equally to all regions.","cw_pesticide_trend_global2014.csv","rgn_id",,,,"trend.score",,TRUE,,,-0.21032281220794,-0.21032281220794,FALSE,,,,4,FALSE
"FIS","fis_b_bmsy","B/Bmsy estimates obtained using the catch-MSY method","The ratio of population abundance compared to the abundance required to deliver maximum sustainable yield, obtained from the catch-MSY model (Martell & Froese, 2013).

Data sources:

- Martell, S., & Froese, R. (2013). **A simple method for estimating MSY from catch and resilience**. _Fish and Fisheries_ 14(4): 504-514. [doi:10.1111/j.1467-2979.2012.00485.x](https://dx/doi/org/10.1111/j.1467-2979.2012.00485.x)
","b_bmsy","B / B_msy","equal","global b_bmsy information was applied equally to all regions.","fis_b_bmsy_global2014.csv","fao_id",,"taxon_name","year","b_bmsy",,TRUE,1954,2011,0.0543516096887502,1.98695925324803,FALSE,,,,4,FALSE
"FIS","fis_meancatch","Catch data for each Taxon/FAO/SAUP region averaged across years (1980-2011)","Mean catch-per-taxon values within each FAO major fishing area.

Data sources:

- [FAO Major Fishing Areas](http://www.fao.org/fishery/area/search/en)","mean_catch","metric tons","equal","global mean catch information was applied equally to all regions.","fis_meancatch_global2014.csv",,"fao_saup_id","taxon_name_key","year","mean_catch",,TRUE,2006,2011,8.17638e-18,4787769.75544375,FALSE,,,,4,FALSE
"FIS","fis_proparea_saup2rgn","area of each saup/total OHI reporting region","Lookup table of Sea Around Us Project regions to Ocean Health Index region identifiers.

Data sources:

- [Sea Around Us Project (SAUP)](http://www.seaaroundus.org)
","prop_area","proportion of area","area_offshore","global proportional area were applied to each region after weighting by each region's offshore area.","fis_proparea_saup2rgn_global2014.csv","rgn_id",,"saup_id",,"prop_area",,TRUE,,,1,1,TRUE,,,,4,FALSE
"FP","fp_wildcaught_weight","Fisheries weighting factor","Proportion of wild caught fisheries yield to mariculture yield, based on FAO fisheries statistics.

Data sources:

- [FAO fisheries statistics](http://www.fao.org/fishery/statistics/global-capture-production/en)","w_fis","value","equal","global weights were applied equally to all regions. ","fp_wildcaught_weight_global2014.csv","rgn_id",,,,"w_fis",,TRUE,,,0.32936399049319,0.32936399049319,TRUE,,,,4,FALSE
